[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Renegats-1].Name;Unknown
[Advisors.Advisor-ClearSky-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Orest].Name;Orest
[Advisors.Advisor-Stalkers-Levsha].Name;Lefty
[Advisors.Advisor-Stalkers-Dikiy].Name;Wild Napr
[Advisors.Advisor-Stalkers-Aidar].Name;Aydar
[Advisors.Advisor-Stalkers-Drozd].Name;Thrush
[Advisors.Advisor-Stalkers-Dog].Name;Hound
[Advisors.Advisor-Stalkers-Furgon].Name;Van
[Advisors.Advisor-Stalkers-Shilov].Name;Shilov
[Advisors.Advisor-Stalkers-Avoska].Name;Stringov
[Advisors.Advisor-Stalkers-Vasiliy].Name;Vasiliy
[Advisors.Advisor-Stalkers-Vasyan].Name;Vasyan
[Advisors.Advisor-Stalkers-Goblin].Name;Goblin
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Stalkers-Puzo].Name;Belly
[Advisors.Advisor-Stalkers-Ezh].Name;Vovka the Hedgehog
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Bandits-Borov].Name;Borov
[Advisors.Advisor-Bandits-Zhivoder].Name;Flayer
[Advisors.Advisor-Bandits-Zub].Name;Tooth
[Advisors.Advisor-Bandits-Prozrachniy].Name;Limpid
[Advisors.Advisor-Bandits-Senka].Name;Senka
[Advisors.Advisor-Bandits-Father].Name;Father
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Ovechko].Name;Semyon Lambee
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Soldiers-Haleckiy].Name;Major Khaletsky
[Advisors.Advisor-Soldiers-Sokolov].Name;Ensign Sokolov
[Advisors.Advisor-Duty-Zvyagincev].Name;Major Zvyagintsev
[Advisors.Advisor-Duty-Incvizitor].Name;Inquisitor
[Advisors.Advisor-Duty-Nalivayko].Name;Sergeant Nalivaiko
[Advisors.Advisor-Duty-Fekl].Name;Fyokl
[Advisors.Advisor-Duty-Kolobok].Name;Kolobok
[Advisors.Advisor-Duty-Sudar].Name;Sir
[Advisors.Advisor-Duty-Semen].Name;Semyon Semyonovich
[Advisors.Advisor-Duty-Milutin].Name;Milyutin
[Advisors.Advisor-Duty-Gromov].Name;Thunderov
[Advisors.Advisor-Duty-Mityay].Name;Mitay
[Advisors.Advisor-Duty-Lis].Name;Fox Bandicoot
[Advisors.Advisor-Duty-Galin].Name;Galin
[Advisors.Advisor-Duty-Serega].Name;Seryoga
[Advisors.Advisor-Freedom-Shukin].Name;Lingov
[Advisors.Advisor-Freedom-Voron].Name;Raven
[Advisors.Advisor-Freedom-Ganzha].Name;Ganja
[Advisors.Advisor-Freedom-Yar].Name;Yar
[Advisors.Advisor-Freedom-Kostuk].Name;Kostyan
[Advisors.Advisor-Freedom-Ashot].Name;Ashot
[Advisors.Advisor-Freedom-Zhurnalist].Name;Journalist
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Hog].Name;Hog
[Advisors.Advisor-Mercenaries-Leshiy].Name;Leshiy
[Advisors.Advisor-Mercenaries-Shtyr].Name;Pin
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;"Ivan ""One Dollar"""
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of Security
[Advisors.Advisor-Scientists-Levsha].Name;Lefty
[Advisors.Advisor-Scientists-Platonov].Name;Platonov
[Advisors.Advisor-Renegats-Kosoy].Name;Oblique
[Advisors.Advisor-Renegats-Kruk].Name;Hook
[Advisors.Advisor-Renegats-Batya].Name;Dad
[Advisors.Advisor-Renegats-Krendel].Name;Pretzel
[Advisors.Advisor-Renegats-Grach].Name;Rook
[Advisors.Advisor-Renegats-Temniy].Name;Dark
[Advisors.Advisor-Renegats-Pirate].Name;Pirate
[Advisors.Advisor-Renegats-Sin].Name;Blue
[Advisors.Advisor-Renegats-Kayzer].Name;Kaiser
[Advisors.Advisor-ClearSky-Kalancha].Name;Kalancha
[Advisors.Advisor-ClearSky-Suslov].Name;Suslov
[Advisors.Advisor-ClearSky-Cold].Name;Cold
[Advisors.Advisor-ClearSky-Faster].Name;Nimble
[Advisors.Advisor-ClearSky-Tropnik].Name;Ivan Trodnik
[Advisors.Advisor-ClearSky-Petro].Name;Petro
[Advisors.Advisor-ClearSky-Vasilenko].Name;Vasilenko
[Advisors.Advisor-ClearSky-Petrenko].Name;Petrenko
[Advisors.Advisor-Zombie-Controler].Name;Controller
[Achievements.Achiv-1].Name;
[Achievements.Achiv-1].Desc;
[Achievements.Achiv-1].Desc-Logo;
[Achievements.Achiv-2].Name;
[Achievements.Achiv-2].Desc;
[Achievements.Achiv-2].Desc-Logo;
[Achievements.Achiv-3].Name;
[Achievements.Achiv-3].Desc;
[Achievements.Achiv-3].Desc-Logo;
[Achievements.Achiv-4].Name;
[Achievements.Achiv-4].Desc;
[Achievements.Achiv-4].Desc-Logo;
[Achievements.Achiv-5].Name;
[Achievements.Achiv-5].Desc;
[Achievements.Achiv-5].Desc-Logo;
[Achievements.Achiv-6].Name;
[Achievements.Achiv-6].Desc;
[Achievements.Achiv-6].Desc-Logo;
[Traders.World].Name;
[Traders.World].NeedText;
[Traders.YourGroup].Name;
[Traders.YourGroup].NeedText;
[Traders.OtherGroup].Name;
[Traders.OtherGroup].NeedText;
[Traders.Trader1].Name;
[Traders.Trader1].NeedText;
[Traders.Trader2].Name;
[Traders.Trader2].NeedText;
[Traders.Trader3].Name;
[Traders.Trader3].NeedText;
[StoryEvents.Event-Swamp-1].Name;
[StoryEvents.Event-Swamp-1].Desc-Owner;
[StoryEvents.Event-Swamp-1].Desc-NonOwner;
[StoryEvents.Event-Swamp-2].Name;
[StoryEvents.Event-Swamp-2].Desc-Owner;
[StoryEvents.Event-Swamp-2].Desc-NonOwner;
[StoryEvents.Event-Swamp-3].Name;
[StoryEvents.Event-Swamp-3].Desc-Owner;
[StoryEvents.Event-Swamp-3].Desc-NonOwner;
[StoryEvents.Event-Swamp-4].Name;
[StoryEvents.Event-Swamp-4].Desc-Owner;
[StoryEvents.Event-Swamp-4].Desc-NonOwner;
[StoryEvents.Event-Swamp-5].Name;
[StoryEvents.Event-Swamp-5].Desc-Owner;
[StoryEvents.Event-Swamp-5].Desc-NonOwner;
[StoryEvents.Event-Swamp-6].Name;
[StoryEvents.Event-Swamp-6].Desc-Owner;
[StoryEvents.Event-Swamp-6].Desc-NonOwner;
[StoryEvents.Event-Swamp-7].Name;
[StoryEvents.Event-Swamp-7].Desc-Owner;
[StoryEvents.Event-Swamp-7].Desc-NonOwner;
[StoryEvents.Event-Swamp-8].Name;
[StoryEvents.Event-Swamp-8].Desc-Owner;
[StoryEvents.Event-Swamp-8].Desc-NonOwner;
[StoryEvents.Event-Swamp-9].Name;
[StoryEvents.Event-Swamp-9].Desc-Owner;
[StoryEvents.Event-Swamp-9].Desc-NonOwner;
[StoryEvents.Event-Swamp-10].Name;
[StoryEvents.Event-Swamp-10].Desc-Owner;
[StoryEvents.Event-Swamp-10].Desc-NonOwner;
[StoryEvents.Event-Swamp-11].Name;
[StoryEvents.Event-Swamp-11].Desc-Owner;
[StoryEvents.Event-Swamp-11].Desc-NonOwner;
[StoryEvents.Event-Swamp-12].Name;
[StoryEvents.Event-Swamp-12].Desc-Owner;
[StoryEvents.Event-Swamp-12].Desc-NonOwner;
[StoryEvents.Event-Swamp-13].Name;
[StoryEvents.Event-Swamp-13].Desc-Owner;
[StoryEvents.Event-Swamp-13].Desc-NonOwner;
[StoryEvents.Event-Swamp-14].Name;
[StoryEvents.Event-Swamp-14].Desc-Owner;
[StoryEvents.Event-Swamp-14].Desc-NonOwner;
[StoryEvents.Event-Swamp-15].Name;
[StoryEvents.Event-Swamp-15].Desc-Owner;
[StoryEvents.Event-Swamp-15].Desc-NonOwner;
[StoryEvents.Event-Swamp-16].Name;
[StoryEvents.Event-Swamp-16].Desc-Owner;
[StoryEvents.Event-Swamp-16].Desc-NonOwner;
[StoryEvents.Event-Swamp-17].Name;
[StoryEvents.Event-Swamp-17].Desc-Owner;
[StoryEvents.Event-Swamp-17].Desc-NonOwner;
[StoryEvents.Event-Swamp-18].Name;
[StoryEvents.Event-Swamp-18].Desc-Owner;
[StoryEvents.Event-Swamp-18].Desc-NonOwner;
[StoryEvents.Event-Swamp-19].Name;
[StoryEvents.Event-Swamp-19].Desc-Owner;
[StoryEvents.Event-Swamp-19].Desc-NonOwner;
[StoryEvents.Event-Swamp-20].Name;
[StoryEvents.Event-Swamp-20].Desc-Owner;
[StoryEvents.Event-Swamp-20].Desc-NonOwner;
[StoryEvents.Event-Swamp-21].Name;
[StoryEvents.Event-Swamp-21].Desc-Owner;
[StoryEvents.Event-Swamp-21].Desc-NonOwner;
[StoryEvents.Event-Swamp-22].Name;
[StoryEvents.Event-Swamp-22].Desc-Owner;
[StoryEvents.Event-Swamp-22].Desc-NonOwner;
[StoryEvents.Event-Swamp-23].Name;
[StoryEvents.Event-Swamp-23].Desc-Owner;
[StoryEvents.Event-Swamp-23].Desc-NonOwner;
[StoryEvents.Event-Swamp-24].Name;
[StoryEvents.Event-Swamp-24].Desc-Owner;
[StoryEvents.Event-Swamp-24].Desc-NonOwner;
[StoryEvents.Event-Swamp-25].Name;
[StoryEvents.Event-Swamp-25].Desc-Owner;
[StoryEvents.Event-Swamp-25].Desc-NonOwner;
[StoryEvents.Event-Swamp-26].Name;
[StoryEvents.Event-Swamp-26].Desc-Owner;
[StoryEvents.Event-Swamp-26].Desc-NonOwner;
[StoryEvents.Event-Swamp-27].Name;
[StoryEvents.Event-Swamp-27].Desc-Owner;
[StoryEvents.Event-Swamp-27].Desc-NonOwner;
[StoryEvents.Event-Swamp-28].Name;
[StoryEvents.Event-Swamp-28].Desc-Owner;
[StoryEvents.Event-Swamp-28].Desc-NonOwner;
[StoryEvents.Event-Escape-Advisor-1].Name;
[StoryEvents.Event-Escape-Advisor-1].Desc-Owner;
[StoryEvents.Event-Escape-Advisor-1].Desc-NonOwner;
[StoryEvents.Event-Escape-1].Name;
[StoryEvents.Event-Escape-1].Desc-Owner;
[StoryEvents.Event-Escape-1].Desc-NonOwner;
[StoryEvents.Event-Escape-2].Name;
[StoryEvents.Event-Escape-2].Desc-Owner;
[StoryEvents.Event-Escape-2].Desc-NonOwner;
[StoryEvents.Event-Escape-3].Name;
[StoryEvents.Event-Escape-3].Desc-Owner;
[StoryEvents.Event-Escape-3].Desc-NonOwner;
[StoryEvents.Event-Escape-4].Name;
[StoryEvents.Event-Escape-4].Desc-Owner;
[StoryEvents.Event-Escape-4].Desc-NonOwner;
[StoryEvents.Event-Escape-5].Name;
[StoryEvents.Event-Escape-5].Desc-Owner;
[StoryEvents.Event-Escape-5].Desc-NonOwner;
[StoryEvents.Event-Escape-6].Name;
[StoryEvents.Event-Escape-6].Desc-Owner;
[StoryEvents.Event-Escape-6].Desc-NonOwner;
[StoryEvents.Event-Escape-7].Name;
[StoryEvents.Event-Escape-7].Desc-Owner;
[StoryEvents.Event-Escape-7].Desc-NonOwner;
[StoryEvents.Event-Escape-8].Name;
[StoryEvents.Event-Escape-8].Desc-Owner;
[StoryEvents.Event-Escape-8].Desc-NonOwner;
[StoryEvents.Event-Escape-9].Name;
[StoryEvents.Event-Escape-9].Desc-Owner;
[StoryEvents.Event-Escape-9].Desc-NonOwner;
[StoryEvents.Event-Escape-10].Name;
[StoryEvents.Event-Escape-10].Desc-Owner;
[StoryEvents.Event-Escape-10].Desc-NonOwner;
[StoryEvents.Event-Escape-11].Name;
[StoryEvents.Event-Escape-11].Desc-Owner;
[StoryEvents.Event-Escape-11].Desc-NonOwner;
[StoryEvents.Event-Escape-12].Name;
[StoryEvents.Event-Escape-12].Desc-Owner;
[StoryEvents.Event-Escape-12].Desc-NonOwner;
[StoryEvents.Event-Escape-Advisor-2].Name;
[StoryEvents.Event-Escape-Advisor-2].Desc-Owner;
[StoryEvents.Event-Escape-Advisor-2].Desc-NonOwner;
[StoryEvents.Event-Escape-13].Name;
[StoryEvents.Event-Escape-13].Desc-Owner;
[StoryEvents.Event-Escape-13].Desc-NonOwner;
[StoryEvents.Event-Escape-14].Name;
[StoryEvents.Event-Escape-14].Desc-Owner;
[StoryEvents.Event-Escape-14].Desc-NonOwner;
[StoryEvents.Event-Escape-15].Name;
[StoryEvents.Event-Escape-15].Desc-Owner;
[StoryEvents.Event-Escape-15].Desc-NonOwner;
[StoryEvents.Event-Escape-16].Name;
[StoryEvents.Event-Escape-16].Desc-Owner;
[StoryEvents.Event-Escape-16].Desc-NonOwner;
[StoryEvents.Event-Escape-17].Name;
[StoryEvents.Event-Escape-17].Desc-Owner;
[StoryEvents.Event-Escape-17].Desc-NonOwner;
[StoryEvents.Event-Escape-18].Name;
[StoryEvents.Event-Escape-18].Desc-Owner;
[StoryEvents.Event-Escape-18].Desc-NonOwner;
[StoryEvents.Event-Escape-19].Name;
[StoryEvents.Event-Escape-19].Desc-Owner;
[StoryEvents.Event-Escape-19].Desc-NonOwner;
[StoryEvents.Event-Escape-20].Name;
[StoryEvents.Event-Escape-20].Desc-Owner;
[StoryEvents.Event-Escape-20].Desc-NonOwner;
[StoryEvents.Event-Escape-21].Name;
[StoryEvents.Event-Escape-21].Desc-Owner;
[StoryEvents.Event-Escape-21].Desc-NonOwner;
[StoryEvents.Event-Escape-22].Name;
[StoryEvents.Event-Escape-22].Desc-Owner;
[StoryEvents.Event-Escape-22].Desc-NonOwner;
[StoryEvents.Event-Escape-23].Name;
[StoryEvents.Event-Escape-23].Desc-Owner;
[StoryEvents.Event-Escape-23].Desc-NonOwner;
[StoryEvents.Event-Escape-24].Name;
[StoryEvents.Event-Escape-24].Desc-Owner;
[StoryEvents.Event-Escape-24].Desc-NonOwner;
[StoryEvents.Event-Escape-25].Name;
[StoryEvents.Event-Escape-25].Desc-Owner;
[StoryEvents.Event-Escape-25].Desc-NonOwner;
[StoryEvents.Event-Escape-26].Name;
[StoryEvents.Event-Escape-26].Desc-Owner;
[StoryEvents.Event-Escape-26].Desc-NonOwner;
[StoryEvents.Event-Escape-27].Name;
[StoryEvents.Event-Escape-27].Desc-Owner;
[StoryEvents.Event-Escape-27].Desc-NonOwner;
[StoryEvents.Event-Escape-28].Name;
[StoryEvents.Event-Escape-28].Desc-Owner;
[StoryEvents.Event-Escape-28].Desc-NonOwner;
[StoryEvents.Event-Escape-Advisor-3].Name;
[StoryEvents.Event-Escape-Advisor-3].Desc-Owner;
[StoryEvents.Event-Escape-Advisor-3].Desc-NonOwner;
[StoryEvents.Event-Escape-29].Name;
[StoryEvents.Event-Escape-29].Desc-Owner;
[StoryEvents.Event-Escape-29].Desc-NonOwner;
[StoryEvents.Event-Escape-30].Name;
[StoryEvents.Event-Escape-30].Desc-Owner;
[StoryEvents.Event-Escape-30].Desc-NonOwner;
[StoryEvents.Event-Escape-Advisor-4].Name;
[StoryEvents.Event-Escape-Advisor-4].Desc-Owner;
[StoryEvents.Event-Escape-Advisor-4].Desc-NonOwner;
[StoryEvents.Event-Escape-AddRecruits-1].Name;
[StoryEvents.Event-Escape-AddRecruits-1].Desc-Owner;
[StoryEvents.Event-Escape-AddRecruits-1].Desc-NonOwner;
[StoryEvents.Event-Escape-Advisor-5].Name;
[StoryEvents.Event-Escape-Advisor-5].Desc-Owner;
[StoryEvents.Event-Escape-Advisor-5].Desc-NonOwner;
[StoryEvents.Event-Garbage1-1].Name;
[StoryEvents.Event-Garbage1-1].Desc-Owner;
[StoryEvents.Event-Garbage1-1].Desc-NonOwner;
[StoryEvents.Event-Garbage1-2].Name;
[StoryEvents.Event-Garbage1-2].Desc-Owner;
[StoryEvents.Event-Garbage1-2].Desc-NonOwner;
[StoryEvents.Event-Garbage1-3].Name;
[StoryEvents.Event-Garbage1-3].Desc-Owner;
[StoryEvents.Event-Garbage1-3].Desc-NonOwner;
[StoryEvents.Event-Garbage1-4].Name;
[StoryEvents.Event-Garbage1-4].Desc-Owner;
[StoryEvents.Event-Garbage1-4].Desc-NonOwner;
[StoryEvents.Event-Garbage1-5].Name;
[StoryEvents.Event-Garbage1-5].Desc-Owner;
[StoryEvents.Event-Garbage1-5].Desc-NonOwner;
[StoryEvents.Event-Garbage1-6].Name;
[StoryEvents.Event-Garbage1-6].Desc-Owner;
[StoryEvents.Event-Garbage1-6].Desc-NonOwner;
[StoryEvents.Event-Garbage1-7].Name;
[StoryEvents.Event-Garbage1-7].Desc-Owner;
[StoryEvents.Event-Garbage1-7].Desc-NonOwner;
[StoryEvents.Event-Garbage1-8].Name;
[StoryEvents.Event-Garbage1-8].Desc-Owner;
[StoryEvents.Event-Garbage1-8].Desc-NonOwner;
[StoryEvents.Event-Garbage1-9].Name;
[StoryEvents.Event-Garbage1-9].Desc-Owner;
[StoryEvents.Event-Garbage1-9].Desc-NonOwner;
[StoryEvents.Event-Garbage1-10].Name;
[StoryEvents.Event-Garbage1-10].Desc-Owner;
[StoryEvents.Event-Garbage1-10].Desc-NonOwner;
[StoryEvents.Event-Garbage1-Advisor-1].Name;
[StoryEvents.Event-Garbage1-Advisor-1].Desc-Owner;
[StoryEvents.Event-Garbage1-Advisor-1].Desc-NonOwner;
[StoryEvents.Event-Garbage1-Advisor-Non].Name;
[StoryEvents.Event-Garbage1-Advisor-Non].Desc-Owner;
[StoryEvents.Event-Garbage1-Advisor-Non].Desc-NonOwner;
[StoryEvents.Event-Garbage1-11].Name;
[StoryEvents.Event-Garbage1-11].Desc-Owner;
[StoryEvents.Event-Garbage1-11].Desc-NonOwner;
[StoryEvents.Event-Garbage1-12].Name;
[StoryEvents.Event-Garbage1-12].Desc-Owner;
[StoryEvents.Event-Garbage1-12].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-1].Name;
[StoryEvents.Event-DarkVallery-1].Desc-Owner;
[StoryEvents.Event-DarkVallery-1].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-2].Name;
[StoryEvents.Event-DarkVallery-2].Desc-Owner;
[StoryEvents.Event-DarkVallery-2].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-3].Name;
[StoryEvents.Event-DarkVallery-3].Desc-Owner;
[StoryEvents.Event-DarkVallery-3].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-4].Name;
[StoryEvents.Event-DarkVallery-4].Desc-Owner;
[StoryEvents.Event-DarkVallery-4].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-5].Name;
[StoryEvents.Event-DarkVallery-5].Desc-Owner;
[StoryEvents.Event-DarkVallery-5].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-6].Name;
[StoryEvents.Event-DarkVallery-6].Desc-Owner;
[StoryEvents.Event-DarkVallery-6].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-7].Name;
[StoryEvents.Event-DarkVallery-7].Desc-Owner;
[StoryEvents.Event-DarkVallery-7].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-8].Name;
[StoryEvents.Event-DarkVallery-8].Desc-Owner;
[StoryEvents.Event-DarkVallery-8].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-Mutants].Name;
[StoryEvents.Event-DarkVallery-Mutants].Desc-Owner;
[StoryEvents.Event-DarkVallery-Mutants].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-9].Name;
[StoryEvents.Event-DarkVallery-9].Desc-Owner;
[StoryEvents.Event-DarkVallery-9].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-10].Name;
[StoryEvents.Event-DarkVallery-10].Desc-Owner;
[StoryEvents.Event-DarkVallery-10].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-11].Name;
[StoryEvents.Event-DarkVallery-11].Desc-Owner;
[StoryEvents.Event-DarkVallery-11].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-12].Name;
[StoryEvents.Event-DarkVallery-12].Desc-Owner;
[StoryEvents.Event-DarkVallery-12].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-Advisor-1].Name;
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-Owner;
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-Invasion-1].Name;
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-Owner;
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-13].Name;
[StoryEvents.Event-DarkVallery-13].Desc-Owner;
[StoryEvents.Event-DarkVallery-13].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-14].Name;
[StoryEvents.Event-DarkVallery-14].Desc-Owner;
[StoryEvents.Event-DarkVallery-14].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-15].Name;
[StoryEvents.Event-DarkVallery-15].Desc-Owner;
[StoryEvents.Event-DarkVallery-15].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-16].Name;
[StoryEvents.Event-DarkVallery-16].Desc-Owner;
[StoryEvents.Event-DarkVallery-16].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-17].Name;
[StoryEvents.Event-DarkVallery-17].Desc-Owner;
[StoryEvents.Event-DarkVallery-17].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-18].Name;
[StoryEvents.Event-DarkVallery-18].Desc-Owner;
[StoryEvents.Event-DarkVallery-18].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-Invasion-2].Name;
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-Owner;
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-19].Name;
[StoryEvents.Event-DarkVallery-19].Desc-Owner;
[StoryEvents.Event-DarkVallery-19].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-20].Name;
[StoryEvents.Event-DarkVallery-20].Desc-Owner;
[StoryEvents.Event-DarkVallery-20].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-21].Name;
[StoryEvents.Event-DarkVallery-21].Desc-Owner;
[StoryEvents.Event-DarkVallery-21].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-22].Name;
[StoryEvents.Event-DarkVallery-22].Desc-Owner;
[StoryEvents.Event-DarkVallery-22].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-23].Name;
[StoryEvents.Event-DarkVallery-23].Desc-Owner;
[StoryEvents.Event-DarkVallery-23].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-24].Name;
[StoryEvents.Event-DarkVallery-24].Desc-Owner;
[StoryEvents.Event-DarkVallery-24].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-25].Name;
[StoryEvents.Event-DarkVallery-25].Desc-Owner;
[StoryEvents.Event-DarkVallery-25].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-26].Name;
[StoryEvents.Event-DarkVallery-26].Desc-Owner;
[StoryEvents.Event-DarkVallery-26].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-27].Name;
[StoryEvents.Event-DarkVallery-27].Desc-Owner;
[StoryEvents.Event-DarkVallery-27].Desc-NonOwner;
[StoryEvents.Event-DarkVallery-28].Name;
[StoryEvents.Event-DarkVallery-28].Desc-Owner;
[StoryEvents.Event-DarkVallery-28].Desc-NonOwner;
[StoryEvents.Event-Garbage2-1].Name;
[StoryEvents.Event-Garbage2-1].Desc-Owner;
[StoryEvents.Event-Garbage2-1].Desc-NonOwner;
[StoryEvents.Event-Garbage2-2].Name;
[StoryEvents.Event-Garbage2-2].Desc-Owner;
[StoryEvents.Event-Garbage2-2].Desc-NonOwner;
[StoryEvents.Event-Garbage2-3].Name;
[StoryEvents.Event-Garbage2-3].Desc-Owner;
[StoryEvents.Event-Garbage2-3].Desc-NonOwner;
[StoryEvents.Event-Garbage2-4].Name;
[StoryEvents.Event-Garbage2-4].Desc-Owner;
[StoryEvents.Event-Garbage2-4].Desc-NonOwner;
[StoryEvents.Event-Garbage2-5].Name;
[StoryEvents.Event-Garbage2-5].Desc-Owner;
[StoryEvents.Event-Garbage2-5].Desc-NonOwner;
[StoryEvents.Event-Garbage2-6].Name;
[StoryEvents.Event-Garbage2-6].Desc-Owner;
[StoryEvents.Event-Garbage2-6].Desc-NonOwner;
[StoryEvents.Event-Garbage2-7].Name;
[StoryEvents.Event-Garbage2-7].Desc-Owner;
[StoryEvents.Event-Garbage2-7].Desc-NonOwner;
[StoryEvents.Event-Garbage2-8].Name;
[StoryEvents.Event-Garbage2-8].Desc-Owner;
[StoryEvents.Event-Garbage2-8].Desc-NonOwner;
[StoryEvents.Event-Garbage2-Advisor-1].Name;
[StoryEvents.Event-Garbage2-Advisor-1].Desc-Owner;
[StoryEvents.Event-Garbage2-Advisor-1].Desc-NonOwner;
[StoryEvents.Event-Garbage2-9].Name;
[StoryEvents.Event-Garbage2-9].Desc-Owner;
[StoryEvents.Event-Garbage2-9].Desc-NonOwner;
[StoryEvents.Event-Garbage2-10].Name;
[StoryEvents.Event-Garbage2-10].Desc-Owner;
[StoryEvents.Event-Garbage2-10].Desc-NonOwner;
[StoryEvents.Event-Garbage2-11].Name;
[StoryEvents.Event-Garbage2-11].Desc-Owner;
[StoryEvents.Event-Garbage2-11].Desc-NonOwner;
[StoryEvents.Event-Garbage2-12].Name;
[StoryEvents.Event-Garbage2-12].Desc-Owner;
[StoryEvents.Event-Garbage2-12].Desc-NonOwner;
[StoryEvents.Event-Garbage2-13].Name;
[StoryEvents.Event-Garbage2-13].Desc-Owner;
[StoryEvents.Event-Garbage2-13].Desc-NonOwner;
[StoryEvents.Event-Garbage2-14].Name;
[StoryEvents.Event-Garbage2-14].Desc-Owner;
[StoryEvents.Event-Garbage2-14].Desc-NonOwner;
[StoryEvents.Event-Agroprom-1].Name;
[StoryEvents.Event-Agroprom-1].Desc-Owner;
[StoryEvents.Event-Agroprom-1].Desc-NonOwner;
[StoryEvents.Event-Agroprom-2].Name;
